 _7.28336   _94.0758
 _8.50876   _93.6703
 _9.72785   _93.2448
 _10.9398   _92.8003
 _12.1444   _92.3388
  _13.344    _91.861
 _14.5369   _91.3688
 _15.7244   _90.8631
 _16.9067   _90.3447
 _18.0836   _89.8148
 _19.2558   _89.2738
 _20.4232   _88.7227
 _21.5858   _88.1619
  _22.744   _87.5918
 _23.8973   _87.0134
 _25.0473   _86.4263
 _26.1927   _85.8315
 _27.3342   _85.2292
 _28.4725   _84.6192
 _29.6059   _84.0026
 _30.7361   _83.3788
 _31.8615    _82.749
  _32.984   _82.1122
 _34.1044   _81.4679
 _35.2201   _80.8177
  _36.332    _80.161
 _37.4387   _79.4982
  _38.542   _78.8276
 _39.6406    _78.149
 _40.5754    _77.823
 _40.8269   _79.0889
 _41.1213   _80.3447
 _41.4726   _81.5853
  _41.802   _82.8326
 _42.1801   _84.0664
 _42.6019   _85.2871
 _43.0654   _86.4922
 _43.5711   _87.6798
 _44.1197   _88.8477
  _44.713   _89.9936
  _45.353   _91.1147
  _46.042   _92.2068
 _46.7824   _93.2658
 _47.5749   _94.2842
 _48.4227   _95.2576
 _49.3274    _96.179
 _50.2887   _97.0397
 _51.3073   _97.8325
 _52.3769   _98.5541
 _53.4913   _99.2066
  _54.643   _99.7888
 _55.8273   _100.302
 _57.0387   _100.747
 _58.2723   _101.126
 _59.5246   _101.442
 _60.7899   _101.696
 _62.0657   _101.891
 _63.3489   _102.028
 _64.6371   _102.109
 _65.9277   _102.133
 _67.2177   _102.099
  _68.504   _101.996
 _68.4978   _103.082
 _68.4167    _104.37
 _68.4476    _105.66
 _68.5906   _106.942
 _68.8496   _108.206
 _69.2283    _109.44
 _69.7288    _110.63
  _70.349   _111.761
 _71.0839   _112.821
 _71.9235     _113.8
  _72.848   _114.702
 _73.8407   _115.526
 _74.8908   _116.276
 _75.9884   _116.954
 _77.1253   _117.566
 _78.2935   _118.113
  _79.489   _118.599
 _80.7068   _119.026
 _81.9447   _119.393
 _83.2003   _119.692
 _83.4022   _120.856
 _83.5631   _122.136
 _83.7971   _123.406
 _84.0901   _124.663
 _84.4337   _125.906
 _84.8228   _127.137
 _85.2526   _128.353
 _85.7202   _129.556
 _86.2219   _130.745
 _86.7569   _131.919
  _87.341    _133.07
 _87.9769   _134.194
 _88.6593   _135.289
 _89.3857   _136.357
 _90.1521   _137.395
 _90.9561   _138.404
 _91.7951   _139.385
  _92.667   _140.336
 _93.5711   _141.258
 _94.5063   _142.148
 _95.4733   _143.003
 _96.1026    _143.78
 _94.9637   _144.387
 _93.8231    _144.99
 _92.6798   _145.591
 _91.5358   _146.188
 _90.3909   _146.784
 _89.2441   _147.377
 _88.0962   _147.968
 _86.9478   _148.557
 _85.7973   _149.144
 _84.6472   _149.728
 _83.4942    _150.31
 _82.3399   _150.891
  _81.186   _151.469
 _80.0304   _152.044
 _78.8737   _152.618
 _77.7159   _153.189
 _76.5571   _153.757
 _75.3979   _154.323
 _74.2375   _154.887
 _73.0746   _155.448
 _71.9112   _156.006
 _70.7464   _156.562
 _69.5801   _157.115
 _68.4127   _157.666
 _67.2436   _158.213
 _66.0734   _158.757
 _64.9017   _159.298
 _63.7284   _159.836
 _62.5535    _160.37
 _61.3773   _160.901
 _60.1991   _161.428
 _59.0189   _161.951
 _57.8375    _162.47
 _56.6531   _162.984
 _55.4675   _163.494
 _54.2795   _163.999
 _53.0896   _164.499
 _51.8968   _164.994
 _50.7024   _165.482
 _49.5056   _165.965
 _48.3057    _166.44
 _47.1017   _166.909
 _45.8964    _167.37
 _44.6867   _167.822
 _43.4743   _168.265
 _42.2581   _168.697
 _41.0389   _169.118
 _39.8147   _169.527
 _38.5857   _169.922
 _37.3519     _170.3
 _36.1128   _170.662
 _34.8699    _171.01
 _33.6232   _171.345
  _32.373   _171.668
 _31.1201    _171.98
 _29.8647   _172.282
 _28.6082   _172.574
